GPT-3,175,NVIDIA V100,10000,355.2,US East (Northern Virginia),300,429,1287000,552000
GPT-4,1800,NVIDIA H100,10000,2160,US East (Northern Virginia),700,322,16099378,5184000
PaLM,540,Google TPUv4,6144,1200,US Central (Iowa),418,430,3436000,271400
BLOOM,176,NVIDIA A100 80GB,384,2820,Europe (Finland),400,57,433196,24700
DeepSeek-V3,671,NVIDIA H800,2048,1361,US East (South Carolina),350,560,1123598,629215
Llama_3.1,405,NVIDIA H100,16000,1928,US East (Northern Virginia),700,359,24841800,8930000
Claude_3_Opus,2000,NVIDIA H100,Not disclosed,Not disclosed,US East (Northern Virginia),700,322,Not disclosed,Not disclosed
Claude_3_Sonnet,70,NVIDIA H100,Not disclosed,Not disclosed,US East (Northern Virginia),700,322,Not disclosed,Not disclosed
Claude_3_Haiku,20,NVIDIA H100,Not disclosed,Not disclosed,US East (Northern Virginia),700,322,Not disclosed,Not disclosed
Gemini_1.0_Ultra,550,Google TPUv4,80000,Not disclosed,US Central (Iowa),170,430,Not disclosed,Not disclosed
Gemini_1.5_Pro,Not disclosed,Google TPUv4,Not disclosed,Not disclosed,US Central (Iowa),170,430,Not disclosed,Not disclosed
T5,11,TPUv3,512,480,US Central (Iowa),450,545,123900,46700
GShard,619,TPUv3,1000,74.4,US Central (Iowa),450,177,36403,4300
Switch,1500,TPUv3,1000,648,US Central (Iowa),450,330,320760,59100
XLM,0.55,V100,512,489.6,US East (Northern Virginia),300,413,82637,39000
Chinchilla,70,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
GLaM,1200,Not specified,Not specified,Not specified,US Central (Iowa),Not specified,Not specified,429000,Not specified
Falcon_180B,180,A100 40GB,4096,1709,US East (Northern Virginia),400,322,3222000,1870000
Mistral_7B,7.3,NVIDIA A100,500,Not specified,France,400,59,Not specified,Not specified
Mixtral_8x7B,47,NVIDIA H100,Not specified,Not specified,Not specified,700,Not specified,Not specified,Not specified
Qwen_72B,72,A100,Not specified,Not specified,China,400,600,Not specified,Not specified
Yi-34B,34,NVIDIA A800 80GB,128,240,China,400,600,15360,Not specified
Grok_3,2700,NVIDIA H100,200000,1000,Memphis Tennessee,700,322,154000000,49588000
Gopher,280,A100,4480,Not specified,Not specified,400,Not specified,1066000,352000
OPT-175B,175,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,324000,Not specified
Gemma_7B,7,Not specified,Not specified,Not specified,US Central (Iowa),Not specified,430,Not specified,Not specified
Vicuna_7B,7,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not disclosed
